,YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
487,2003,11,4,49.26038189,-123.1130009,22,40,1,1,11
491,2003,7,3,49.27081253,-123.1550482,23,24,3,1,9
493,2003,1,11,49.26005568,-123.1060321,20,0,5,1,11
501,2003,7,4,49.29516074,-123.1368381,14,8,4,1,18
505,2003,8,28,49.26937486,-123.0285234,18,11,3,1,5
511,2003,8,14,49.26937486,-123.0285234,14,52,3,1,5
512,2003,7,23,49.26937486,-123.0285234,16,0,2,1,5
514,2003,2,15,49.27768695,-123.1052863,14,40,5,1,1
516,2003,4,1,49.26998678,-123.1055998,15,11,1,1,11
517,2003,7,1,49.28339195,-123.1030021,14,55,1,1,1
519,2003,1,20,49.26500126,-123.0736045,11,0,0,1,4
522,2003,6,1,49.26935465,-123.0364412,16,50,6,1,5
523,2003,4,28,49.26422289,-123.1218063,19,35,0,1,3
524,2003,8,27,49.2473909,-123.0699509,20,35,2,1,6
526,2003,9,26,49.28401144,-123.1138387,11,16,4,1,1
527,2003,5,15,49.29003125,-123.1290209,21,22,3,1,1
528,2003,10,9,49.28105802,-123.1075896,2,30,3,1,1
529,2003,10,31,49.24950519,-123.1390972,1,41,4,1,16
533,2003,4,21,49.24904554,-123.1154071,10,0,0,1,17
535,2003,8,21,49.25012544,-123.1786452,20,0,3,1,2
536,2003,8,8,49.25012544,-123.1786452,10,45,4,1,2
539,2003,5,5,49.25012544,-123.1786452,18,10,0,1,2
542,2003,10,31,49.24960446,-123.146119,7,16,4,1,16
544,2003,8,5,49.20686281,-123.1102292,14,47,1,1,10
546,2003,2,5,49.28199387,-123.1072066,15,23,2,1,1
549,2003,9,6,49.28977895,-123.1294053,16,4,5,1,22
557,2003,5,2,49.28057392,-123.1152194,21,0,4,1,1
558,2003,11,23,49.2926165,-123.1337311,20,40,6,1,22
563,2003,11,16,49.2926165,-123.1337311,11,35,6,1,22
564,2003,8,21,49.2945021,-123.1366244,7,10,3,1,18
566,2003,9,4,49.28712986,-123.1253418,15,13,3,1,22
569,2003,7,23,49.28712986,-123.1253418,7,15,2,1,22
570,2003,6,6,49.28440884,-123.1210998,17,5,4,1,22
572,2003,2,14,49.28440884,-123.1210998,9,20,4,1,22
573,2003,12,17,49.28899768,-123.1282344,15,40,2,1,22
574,2003,7,19,49.28899768,-123.1282344,18,11,5,1,22
577,2003,11,26,49.27870583,-123.1122591,0,0,2,1,1
578,2003,10,30,49.2631795,-123.1128973,15,30,3,1,11
579,2003,3,5,49.2638589,-123.1553013,11,20,2,1,9
580,2003,1,9,49.2638917,-123.1576517,18,40,3,1,9
582,2003,5,29,49.26339915,-123.1266287,2,30,3,1,3
587,2003,7,22,49.26304134,-123.1068357,7,30,1,1,11
589,2003,2,11,49.26328938,-123.1199073,8,40,1,1,3
590,2003,3,18,49.26360734,-123.1410336,19,50,1,1,3
591,2003,11,20,49.26436245,-123.1858851,12,15,3,1,23
592,2003,3,20,49.26436245,-123.1858851,21,27,3,1,23
593,2003,4,4,49.26489261,-123.1623832,7,45,4,1,9
594,2003,3,30,49.26489261,-123.1623832,15,30,6,1,9
595,2003,12,27,49.26529539,-123.1360764,17,6,5,1,3
596,2003,12,27,49.26537061,-123.1408599,22,40,5,1,3
597,2003,8,26,49.26492276,-123.1147431,12,30,1,1,11
599,2003,7,24,49.2647736,-123.1108942,8,0,3,1,11
602,2003,8,30,49.20697184,-123.1346669,8,14,5,1,10
603,2003,1,26,49.20844469,-123.1288634,12,36,6,1,10
604,2003,6,14,49.2084117,-123.1261587,1,40,5,1,10
605,2003,11,5,49.20836882,-123.1242227,16,14,2,1,10
606,2003,1,18,49.20836882,-123.1242227,11,0,5,1,10
607,2003,12,4,49.26586213,-123.1197898,20,3,3,1,3
608,2003,2,28,49.26586213,-123.1197898,10,51,4,1,3
611,2003,4,16,49.26630015,-123.1456734,17,5,2,1,9
612,2003,4,2,49.21316421,-123.1146508,8,16,2,1,10
613,2003,10,4,49.21502489,-123.1475412,9,10,5,1,10
615,2003,8,9,49.21932485,-123.1401385,9,6,5,1,10
617,2003,10,5,49.22153322,-123.1285129,12,45,6,1,13
623,2003,8,14,49.22410836,-123.1417589,18,30,3,1,7
624,2003,8,6,49.22536443,-123.1209005,17,29,2,1,13
627,2003,9,14,49.2681826,-123.1575142,9,38,6,1,9
628,2003,1,25,49.2681826,-123.1575142,14,30,5,1,9
629,2003,4,13,49.26846213,-123.175756,23,30,6,1,9
630,2003,4,29,49.2679583,-123.1432453,19,0,1,1,3
632,2003,4,7,49.26791623,-123.1408809,8,15,0,1,3
633,2003,4,7,49.26791623,-123.1408809,8,0,0,1,3
634,2003,4,7,49.26858478,-123.1836466,8,30,0,1,9
635,2003,10,15,49.26849514,-123.1776943,18,30,2,1,9
638,2003,6,28,49.2685995,-123.1856948,0,34,5,1,23
639,2003,3,23,49.2685995,-123.1856948,14,50,6,1,23
644,2003,11,3,49.22719854,-123.1588122,10,0,0,1,7
645,2003,7,9,49.22573896,-123.1059037,19,35,2,1,13
650,2003,8,28,49.22696223,-123.1398167,12,0,3,1,7
653,2003,5,2,49.22696223,-123.1398167,11,29,4,1,7
654,2003,4,30,49.22696223,-123.1398167,9,55,2,1,7
655,2003,2,8,49.22696223,-123.1398167,5,39,5,1,7
657,2003,9,22,49.22701157,-123.1435938,13,15,0,1,7
660,2003,9,19,49.22747035,-123.1282811,9,53,4,1,13
662,2003,7,16,49.22747035,-123.1282811,14,22,2,1,13
669,2003,11,17,49.22699725,-123.1163446,17,45,0,1,13
670,2003,6,11,49.2298039,-123.1162139,20,40,2,1,13
672,2003,11,19,49.23376283,-123.123888,17,35,2,1,13
676,2003,1,4,49.23388418,-123.1280917,9,44,5,1,13
677,2003,4,15,49.23467711,-123.1627511,8,40,1,1,7
678,2003,3,10,49.23477315,-123.1883428,12,55,0,1,2
680,2003,10,16,49.23433856,-123.1396315,0,7,3,1,7
